altitude
time,h,h_0,h_1,h_2,h_3,
seconds,m,m,m,m,m,
2958.01799440,  6.66046500,  6.73500000,  6.60500000,  6.54000000,  6.76700000,
2958.12800574,  6.70946200,  6.60500000,  6.83200000,  6.73500000,  6.67000000,
2958.23871469,  6.73688000,  6.54000000,  6.96200000,  6.93000000,  6.54000000,
2958.34166670,  6.74212000,  6.47500000,  7.02700000,  7.15700000,  6.37700000,
2958.45055437,  6.77656700,  6.47500000,  7.12400000,  7.25400000,  6.34500000,
2958.56014705,  6.72910100,  6.44200000,  7.02700000,  7.22200000,  6.31200000,
2958.67161512,  6.71397800,  6.50700000,  6.96200000,  7.06000000,  6.37700000,
2958.78153753,  6.68249100,  6.63700000,  6.73500000,  6.89700000,  6.47500000,
2958.88655257,  6.65270500,  6.73500000,  6.54000000,  6.63700000,  6.70200000,
2958.99773383,  6.65790800,  6.80000000,  6.50700000,  6.50700000,  6.83200000,
2959.11075044,  6.68191900,  6.96200000,  6.47500000,  6.34500000,  6.99500000,
2959.21892118,  6.64520200,  6.89700000,  6.44200000,  6.24700000,  7.06000000,
2959.32485700,  6.64140400,  6.80000000,  6.50700000,  6.28000000,  7.02700000,
2959.43791556,  6.65458700,  6.73500000,  6.57200000,  6.37700000,  6.96200000,
2959.54596472,  6.64236400,  6.50700000,  6.76700000,  6.50700000,  6.80000000,
2959.65506864,  6.63335100,  6.41000000,  6.86500000,  6.63700000,  6.63700000,
2959.76197600,  6.68402300,  6.37700000,  6.99500000,  6.89700000,  6.50700000,
2959.87093043,  6.73002300,  6.37700000,  7.15700000,  7.09200000,  6.37700000,
2959.97794771,  6.74795700,  6.44200000,  7.09200000,  7.15700000,  6.37700000,
2960.08958125,  6.75786200,  6.57200000,  6.93000000,  7.09200000,  6.47500000,
2960.20252347,  6.69210100,  6.63700000,  6.73500000,  6.86500000,  6.54000000,
2960.31100917,  6.71751800,  6.86500000,  6.63700000,  6.67000000,  6.70200000,
2960.42159486,  6.72966500,  6.99500000,  6.54000000,  6.57200000,  6.83200000,
2960.52868199,  6.77572000,  7.06000000,  6.54000000,  6.57200000,  6.96200000,
2960.63818955,  6.76932800,  6.99500000,  6.54000000,  6.60500000,  6.96200000,
2960.74851894,  6.75678900,  6.86500000,  6.63700000,  6.63700000,  6.89700000,
2960.85616684,  6.72625600,  6.63700000,  6.80000000,  6.73500000,  6.73500000,
2960.96713066,  6.72985500,  6.54000000,  6.96200000,  6.86500000,  6.57200000,
2961.07061505,  6.70976600,  6.34500000,  7.09200000,  7.02700000,  6.44200000,
2961.18253827,  6.78779500,  6.31200000,  7.31900000,  7.31900000,  6.34500000,
2961.28873372,  6.79259000,  6.24700000,  7.51400000,  7.41700000,  6.21500000,
2961.40607285,  6.71483200,  6.18200000,  7.31900000,  7.28700000,  6.24700000,
2961.51463032,  6.71002300,  6.34500000,  7.15700000,  7.12400000,  6.31200000,
2961.61956859,  6.68210000,  6.41000000,  7.02700000,  6.93000000,  6.41000000,
2961.72874117,  6.63576900,  6.50700000,  6.73500000,  6.73500000,  6.57200000,
