depth
time,pressure,depth_raw,depth_filt,
seconds,Pa,m,m,
2959.33348489,-4397.01880000, -0.44840000, -0.45180000,
2959.43150640,-4371.46020000, -0.44580000, -0.45120000,
2959.53228450,-4371.65100000, -0.44580000, -0.45060000,
2959.63423777,-4379.47110000, -0.44660000, -0.45020000,
2959.73351765,-4439.17120000, -0.45270000, -0.45050000,
2959.83488274,-4429.82520000, -0.45170000, -0.45060000,
2959.93738651,-4426.20120000, -0.45130000, -0.45070000,
2960.03551340,-4417.99960000, -0.45050000, -0.45070000,
2960.13543057,-4401.78710000, -0.44890000, -0.45050000,
2960.23869419,-4393.58550000, -0.44800000, -0.45020000,
2960.33669066,-4344.94800000, -0.44310000, -0.44950000,
2960.41748405,-4360.39760000, -0.44460000, -0.44900000,
2960.53872895,-4369.55290000, -0.44560000, -0.44870000,
2960.63891649,-4372.22320000, -0.44580000, -0.44840000,
2960.73907399,-4389.19860000, -0.44760000, -0.44830000,
2960.81711006,-4428.49010000, -0.45160000, -0.44860000,
2960.91660881,-4436.11950000, -0.45240000, -0.44900000,
2961.04034066,-4479.03490000, -0.45670000, -0.44980000,
2961.14028907,-4444.70260000, -0.45320000, -0.45010000,
2961.21688271,-4438.21760000, -0.45260000, -0.45040000,
2961.34188294,-4416.09230000, -0.45030000, -0.45040000,
2961.44170618,-4379.85260000, -0.44660000, -0.45000000,
2961.54229283,-4351.81450000, -0.44380000, -0.44940000,
2961.64360070,-4366.88260000, -0.44530000, -0.44900000,
2961.74483418,-4379.66190000, -0.44660000, -0.44870000,
2961.84333754,-4451.56900000, -0.45390000, -0.44920000,
2961.94452643,-4450.99680000, -0.45390000, -0.44970000,
2962.04552698,-4387.86350000, -0.44740000, -0.44950000,
2962.14729548,-4373.93980000, -0.44600000, -0.44910000,
2962.24543595,-4361.35130000, -0.44470000, -0.44870000,
2962.34144974,-4331.97800000, -0.44170000, -0.44800000,
2962.44740844,-4297.26420000, -0.43820000, -0.44700000,
2962.54865193,-4264.45780000, -0.43490000, -0.44580000,
2962.64774799,-4250.34340000, -0.43340000, -0.44460000,
2962.74883604,-4224.02190000, -0.43070000, -0.44320000,
2962.84824967,-4217.53690000, -0.43010000, -0.44190000,
2962.94958997,-4276.66480000, -0.43610000, -0.44130000,
2963.05094814,-4378.89890000, -0.44650000, -0.44180000,
2963.15040112,-4441.26930000, -0.45290000, -0.44290000,
2963.25070286,-4537.59060000, -0.46270000, -0.44490000,
2963.35154629,-4577.64500000, -0.46680000, -0.44710000,
2963.45342398,-4579.36160000, -0.46700000, -0.44910000,
2963.55236793,-4578.21720000, -0.46680000, -0.45090000,
2963.65261245,-4529.19830000, -0.46180000, -0.45200000,
2963.75352859,-4475.22020000, -0.45630000, -0.45240000,
2963.84140682,-4375.27490000, -0.44620000, -0.45180000,
2963.95467973,-4285.24790000, -0.43700000, -0.45030000,
2964.04068947,-4166.99210000, -0.42490000, -0.44780000,
2964.15488696,-4065.71170000, -0.41460000, -0.44440000,
2964.25557613,-3889.66310000, -0.39660000, -0.43970000,
2964.35770488,-3726.58450000, -0.38000000, -0.43370000,
